"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",1,0.788635463720041,0.622093023255814,0.482843586287756,0.531001214316456,0.831976744186047,0.276323490618576,0.32792320114142,0.610238614018707,0.622093023255814,0.581673118268649,0.622093023255814,0.571445718315236,0.632344493268193,-0.00126730600075526,0.00988372093023256,0.0563953488372093,0.416353467916731,0.597674418604651,-0.0278807320166158,-0.032609674142989,-0.2407881401435,-0.19009590011329,-0.00126730600075526,-0.0149838017862469
"2",0.788635463720041,1,0.749421545634514,0.812033190705609,0.493868139376511,0.934598381038391,0.564573045847734,0.601329663886531,0.747677817474027,0.749421545634514,0.702040816326531,0.749421545634514,0.651690463970045,0.741138361344516,-0.0427385889845057,-0.0392139180855269,0.0392139180855269,0.271662912462081,0.745064443625011,0.356154908204214,0.256021253702518,0.123467034844128,-0.194698016484971,0.166205623828633,0.17645860405062
"3",0.622093023255814,0.749421545634514,1,0.914994932545301,0.5297339083157,0.663953488372093,0.821407934217745,0.344841848848262,0.999418435542554,1,0.936776932043143,1,0.888225409989987,0.999418435542554,-0.0481576280287,-0.0343023255813954,0.0540697674418605,0.583619848684274,0.997674418604651,0.43088404025679,0.321438216552321,0.191363206114045,-0.193897818115555,0.21417471412764,0.215481339973646
"4",0.482843586287756,0.812033190705609,0.914994932545301,1,0.574585635359116,0.721097114429745,0.904114979676128,0.416512359227811,0.914259327274177,0.914994932545301,0.857146145744809,0.914994932545301,0.794307214120295,0.904114979676128,0,0,0.0963152560574001,0.479738978266675,0.91246032054379,0.522099447513812,0.385870834132302,0.251381215469613,-0.168508287292818,0.276243093922652,0.297061267678485
"5",0.531001214316456,0.493868139376511,0.5297339083157,0.574585635359116,1,0.723631726431256,0.541454553045872,0.00325400280646727,0.507217379902456,0.5297339083157,0.496242505431205,0.5297339083157,0.491928899654046,0.541454553045872,0.417127071823204,0.38272641222809,0.435953264259811,0.807090281083936,0.484110892288511,-0.0469613259668508,-0.0428745371258114,-0.251381215469613,0.220994475138122,0.196132596685083,0.234849483871472
"6",0.831976744186047,0.934598381038391,0.663953488372093,0.721097114429745,0.723631726431256,1,0.486329343488693,0.489147961641906,0.653286905188759,0.663953488372093,0.621976311856552,0.663953488372093,0.591115045576087,0.664339844813502,0.167284392099695,0.153488372093023,0.222093023255814,0.45053173767109,0.641860465116279,0.193897818115555,0.136650063075383,-0.0253461200151053,-0.00126730600075526,0.191363206114045,0.215481339973646
"7",0.276323490618576,0.564573045847734,0.821407934217745,0.904114979676128,0.541454553045872,0.486329343488693,1,0.191192388327791,0.820139697322468,0.821407934217745,0.759666820378129,0.821407934217745,0.712651144969376,0.811408614668219,-0.0355052165931719,-0.0221058792494861,0.0651541704195378,0.44250344079198,0.817917532230984,0.41718629496977,0.311784875924102,0.180062169865372,-0.181330213315128,0.214299343008788,0.215606729184125
"8",0.32792320114142,0.601329663886531,0.344841848848262,0.416512359227811,0.00325400280646727,0.489147961641906,0.191192388327791,1,0.348029894377933,0.344841848848262,0.318844565967742,0.344841848848262,0.501053028782586,0.334586679573635,0.257066221710914,0.240344318894243,0.279157687162878,-0.140944597835133,0.350813136274205,0.689848594971062,0.562189472612822,0.562942485518838,0.1789701543557,0.504370435002427,0.549617321365606
"9",0.610238614018707,0.747677817474027,0.999418435542554,0.914259327274177,0.507217379902456,0.653286905188759,0.820139697322468,0.348029894377933,1,0.999418435542554,0.936232135874911,0.999418435542554,0.886670610601433,0.99825378346915,-0.0722784766361,-0.0564281654526355,0.0319953515453088,0.565824071832368,0.999418435542554,0.4336708598166,0.322661092526106,0.202886951960982,-0.206691082310251,0.202886951960982,0.202042067414263
"10",0.622093023255814,0.749421545634514,1,0.914994932545301,0.5297339083157,0.663953488372093,0.821407934217745,0.344841848848262,0.999418435542554,1,0.936776932043143,1,0.888225409989987,0.999418435542554,-0.0481576280287,-0.0343023255813954,0.0540697674418605,0.583619848684274,0.997674418604651,0.43088404025679,0.321438216552321,0.191363206114045,-0.193897818115555,0.21417471412764,0.215481339973646
